context_en;context_ru;domain;idiom_en;is_idiomatic;idiom_ru;en_idiom_structure;ru_idiom_structure;interlanguage_equivalence;translation_equivalence
A herd of black sheep grazing near the shore;Стадо черных овец пасется у берега;general;a black sheep;ЛОЖЬ;;;;;
a lady bending over a rail looking at a white sheep and a black sheep;дама, склонившаяся над перилами, смотрит на белую и черную овец;general;a black sheep;ЛОЖЬ;;;;;
A sheep standing next to a baby black sheep.;Овца стоит рядом с чёрным ягнёнком.;general;a black sheep;ЛОЖЬ;;;;;
A large white sheep and two baby black sheep in barn;Большая белая овца и две черные овечки в сарае.;general;a black sheep;ЛОЖЬ;;;;;
A mother sheep with two black baby sheep.;Мать-овца с двумя черными овцами.;general;a black sheep;ЛОЖЬ;;;;;
Everyone likes me because I'm so quiet and obedient. The same cannot be said for my wild cousin Nathan, who's been the black sheep since we were kids.;Я всем нравлюсь, потому что я тихая и послушная. Чего нельзя сказать о моем взбалмошном кузене Натане, который с детства был паршивой овцой.;general;a black sheep;ИСТИНА;паршивая овца;DET + ADJ + <NOUN>;ADJ + <NOUN>;2;ИСТИНА
As a free-spirited artist, I was always the black sheep in my family of intellectuals.;Как художник со свободным духом, я всегда был паршивой овцой в своей семье интеллектуалов.;general;a black sheep;ИСТИНА;паршивая овца;DET + ADJ + <NOUN>;ADJ + <NOUN>;2;ИСТИНА
"Uncle Fritz was the black sheep of the family; we always thought he emigrated to Argentina to avoid jail.";"Дядя Фриц был паршивой овцой в нашей семье; мы всегда думали, что он эмигрировал в Аргентину, чтобы избежать тюрьмы.";general;a black sheep;ИСТИНА;паршивая овца;DET + ADJ + <NOUN>;ADJ + <NOUN>;2;ИСТИНА
My uncle was the black sheep of the family and we were never encouraged to talk about him.;Мой дядя был паршивой овцой в семье, и мы старались не говорить о нём.;general;a black sheep;ИСТИНА;паршивая овца;DET + ADJ + <NOUN>;ADJ + <NOUN>;2;ИСТИНА
Debbie is the black sheep of the family, having left home at seventeen to live with her boyfriend.;Дебби ? паршивая овца в семье, она ушла из дома в семнадцать лет, чтобы жить со своим парнем.;general;a black sheep;ИСТИНА;паршивая овца;DET + ADJ + <NOUN>;ADJ + <NOUN>;2;ИСТИНА
The cradle of many Uzbek crafts and arts, from where sharp knives, colorful ceramics and handmade silks come to all the bazaars of the country?this region is known as the Fergana Valley, a hollow between the mountain ranges, creating in addition to the beautiful landscape a very pleasant climate, which compared to, say, the desert climate of Khorezm, will seem a real breath of fresh air in the literal and figurative sense.;Колыбель многих узбекских ремёсел и искусств, откуда на все базары страны прибывают острые ножи, яркая керамика и шелка ручной работы, ? этот регион известен как Ферганская долина, впадина между горных хребтов, создающих помимо дивного пейзажа весьма приятный климат, который по сравнению, скажем, с пустынным хорезмским, покажется вам настоящим глотком свежего воздуха в прямом и переносном смыслах.;mass_media;a breath of fresh air;Ambiguous;глоток свежего воздуха;DET + <NOUN> + ADP + ADJ + NOUN;<NOUN> + ADJ + NOUN;2;ИСТИНА
This trip is not only a stay in your native land and a breath of fresh air of the region where you grew up, most importantly, it is an example for the younger generation.;Эта поездка ? не только пребывание на родной земле и глоток свежего воздуха края, где ты вырос, самое главное ? пример подрастающему поколению.;mass_media;a breath of fresh air;ИСТИНА;глоток свежего воздуха;DET + <NOUN> + ADP + ADJ + NOUN;<NOUN> + ADJ + NOUN;2;ИСТИНА
After dating a series of boring men, Tom's adventurous nature was like a breath of fresh air to Sarah.;После множества свиданий со скучными мужчинами предприимчивая натура Тома была для Сары глотком свежего воздуха.;general;a breath of fresh air;ИСТИНА;глоток свежего воздуха;DET + <NOUN> + ADP + ADJ + NOUN;<NOUN> + ADJ + NOUN;2;ИСТИНА
The beautiful new paint color is a breath of fresh air for the house.;Красивый новый цвет краски ? это глоток свежего воздуха для дома.;general;a breath of fresh air;ИСТИНА;глоток свежего воздуха;DET + <NOUN> + ADP + ADJ + NOUN;<NOUN> + ADJ + NOUN;2;ИСТИНА
With Hollywood always foisting garbage upon us, it's like a breath of fresh air when a quality film appears in theaters.;Поскольку Голливуд постоянно навязывает нам мусор, появление качественного фильма в кинотеатрах ? это словно глоток свежего воздуха.;general;a breath of fresh air;ИСТИНА;глоток свежего воздуха;DET + <NOUN> + ADP + ADJ + NOUN;<NOUN> + ADJ + NOUN;2;ИСТИНА
After the stuffy conversation we have at our dinner table, this is like a breath of fresh air.;На фоне душных разговоров, которые мы ведём за обеденным столом, это кажется глотком свежего воздуха.;general;a breath of fresh air;ИСТИНА;глоток свежего воздуха;DET + <NOUN> + ADP + ADJ + NOUN;<NOUN> + ADJ + NOUN;2;ИСТИНА
Brian never wanted to do anything. Life was stagnant. So Mike, my present husband, was a breath of fresh air.;Брайан никогда ничего не хотел делать. Жизнь пребывала в застое. Так что Майк, мой нынешний муж, был для меня глотком свежего воздуха.;general;a breath of fresh air;ИСТИНА;глоток свежего воздуха;DET + <NOUN> + ADP + ADJ + NOUN;<NOUN> + ADJ + NOUN;2;ИСТИНА
Having these young people living with us is like a breath of fresh air after years on our own.;То, что эти молодые люди живут с нами, ? как будто глоток свежего воздуха после долгих лет жизни в одиночестве.;general;a breath of fresh air;ИСТИНА;глоток свежего воздуха;DET + <NOUN> + ADP + ADJ + NOUN;<NOUN> + ADJ + NOUN;2;ИСТИНА
An orange cat standing on the back of a dark horse.;Оранжевый кот, стоящий на спине темной лошади.;general;a dark horse;ЛОЖЬ;;;;;
two large dark brown carriage horses pulling a red truck;две большие темно-коричневые упряжные лошади тянут красный грузовик;general;a dark horse;ЛОЖЬ;;;;;
Nobody thought Cheri could win the race after breaking her leg last year, but she turned out to be a dark horse and took first place.;Никто не думал, что Чери сможет выиграть гонку после того, как в прошлом году сломала ногу, но она оказалась тёмной лошадкой и заняла первое место.;general;a dark horse;ИСТИНА;тёмная лошадка;DET + ADJ + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
